date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:09	28709/28709	---M--	200	added ('OK')	image/jpeg	etag:%22e8d329457fe4d50ef114c3e2c1a32672%22	https://r.mobirisesite.com/718031/assets/images/shop1.jpg?rnd=1727007098601	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/shop1b82c.jpg	(from https://718031.mobirisesite.com/)
17:51:09	130790/130790	---M--	200	added ('OK')	image/jpeg	etag:%22d6da2d078f6279a43f493d47d8c700b5%22	https://r.mobirisesite.com/718031/assets/images/ge4e3d67751c572e2722d8f489c7e-h_m1di34me.jpg	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/ge4e3d67751c572e2722d8f489c7e-h_m1di34me.jpg	(from https://718031.mobirisesite.com/)
17:51:10	87275/87275	---M--	200	added ('OK')	image/jpeg	etag:%226db0fa553a271bd05089c945a1423d53%22	https://r.mobirisesite.com/718031/assets/images/gallery03.jpg?rnd=1727007098601	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/gallery03b82c.jpg	(from https://718031.mobirisesite.com/)
17:51:11	116761/116761	---M--	200	added ('OK')	image/jpeg	etag:%22723959e42ff03bb74c893f434ee073c9%22	https://r.mobirisesite.com/718031/assets/images/photo-1484494789010-20fc1a011197.jpeg	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/photo-1484494789010-20fc1a011197.jpg	(from https://718031.mobirisesite.com/)
17:51:11	218465/218465	---M--	200	added ('OK')	image/jpeg	etag:%220b16fb8cc15d6f5502fd1ac3ca08bb29%22	https://r.mobirisesite.com/718031/assets/images/photo-1617184003107-0df15fea4903.jpeg	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/photo-1617184003107-0df15fea4903.jpg	(from https://718031.mobirisesite.com/)
17:51:12	171528/171528	---M--	200	added ('OK')	image/jpeg	etag:%22b0b2bbc5daf1e8464b93aa5b903d56e8%22	https://r.mobirisesite.com/718031/assets/images/photo-1500293669-115211273e5c.jpeg	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/photo-1500293669-115211273e5c.jpg	(from https://718031.mobirisesite.com/)
17:51:12	67794/67794	---M--	200	added ('OK')	image/jpeg	etag:%2215df04db571485d08bf12bad39632267%22	https://r.mobirisesite.com/718031/assets/images/photo-1468234560893-89c00b6385c8.jpeg	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/photo-1468234560893-89c00b6385c8.jpg	(from https://718031.mobirisesite.com/)
17:51:13	139978/139978	---M--	200	added ('OK')	image/jpeg	etag:%22c51c95c9ff73031e393e5f7e87338a23%22	https://r.mobirisesite.com/718031/assets/images/photo-1506157786151-b8491531f063.jpeg	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/photo-1506157786151-b8491531f063.jpg	(from https://718031.mobirisesite.com/)
17:51:13	124301/124301	---M--	200	added ('OK')	image/jpeg	etag:%2284ef699a1066d53781c15081ca31d405%22	https://r.mobirisesite.com/718031/assets/images/photo-1489993360877-883980cc7333.jpeg	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/photo-1489993360877-883980cc7333.jpg	(from https://718031.mobirisesite.com/)
17:51:13	183574/183574	---M--	200	added ('OK')	image/jpeg	etag:%22ed82d3c1e0e0810f7431c48236c27c79%22	https://r.mobirisesite.com/718031/assets/images/photo-1605302977593-fe0329b1effd.jpeg	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/photo-1605302977593-fe0329b1effd.jpg	(from https://718031.mobirisesite.com/)
